"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000164162",392,403,417,318,427,236,207,280,268,275,651,449,166,305,201
"ENSG00000164163",3561,2400,4524,2384,3522,709,685,2837,1548,3860,6478,3974,443,1188,586
"ENSG00000164164",5353,6108,5918,5330,6872,3600,3280,5462,3807,4666,10192,5050,2055,3751,2940
"ENSG00000170365",1165,1192,1145,1118,1688,1155,1034,1183,1298,969,2415,1203,912,1230,1086
"ENSG00000151611",564,563,404,817,1070,246,367,778,524,687,1192,986,83,367,306
"ENSG00000250673",0,6,2,12,2,4,10,5,13,6,8,7,7,2,14
"ENSG00000164167",372,402,286,366,503,188,158,319,330,325,863,431,132,361,140
"ENSG00000237136",0,2,5,0,0,3,2,0,0,0,0,2,0,0,2
"ENSG00000151612",3575,2761,2714,3943,3462,4618,3136,4043,3262,3620,2204,3660,4282,2567,2621
"ENSG00000137473",8,0,2,0,0,0,0,0,0,0,0,0,4,2,0
"ENSG00000120519",607,705,910,875,1210,399,499,817,611,891,1870,1044,283,727,696
"ENSG00000151617",1383,548,970,69,80,46,119,198,119,29,306,104,49,334,33
"ENSG00000164168",889,1142,1310,1028,1281,597,547,1161,936,1423,2843,1945,412,852,774
"ENSG00000164169",565,564,473,564,931,378,366,629,534,665,884,804,430,586,474
"ENSG00000071205",168,799,330,108,212,149,356,239,254,57,893,106,795,763,400
"ENSG00000234828",21,192,40,96,57,814,1142,250,1249,340,505,409,474,418,942
"ENSG00000170390",88,455,243,201,32,770,425,373,187,120,447,104,716,358,309
"ENSG00000151623",6051,16386,6205,37254,62906,42545,54340,18895,46767,33373,98181,17087,33596,46656,64104
"ENSG00000181541",53,208,82,48,50,72,117,59,71,20,57,44,281,101,80
"ENSG00000198589",20534,21063,16013,18488,24600,18233,17905,19608,20021,17107,35639,27969,16732,15590,14784
"ENSG00000145425",19746,10288,25472,13388,19629,6003,5260,24912,13240,33370,48308,50305,7358,6938,5929
"ENSG00000109686",18012,29523,24311,22496,37071,17975,21692,21682,16818,25187,30810,23783,12433,14348,16776
"ENSG00000189099",3489,6378,4558,4914,9093,3055,3421,2992,3168,3476,7304,2856,3032,3441,3587
"ENSG00000164142",2122,2597,3000,5290,6179,5167,5949,3542,5387,3472,5392,2238,4142,4262,4307
"ENSG00000059691",555,716,515,616,875,614,651,798,728,535,1828,758,584,508,369
"ENSG00000109670",9099,8708,12829,8617,12863,3596,5606,8359,4806,6322,16144,6343,2022,10924,2938
"ENSG00000170006",859,674,1934,637,339,180,206,655,341,517,564,1719,190,739,325
"ENSG00000169989",111,147,188,121,66,80,51,77,110,76,131,79,44,70,26
"ENSG00000164144",1122,931,1258,1304,2352,954,719,1131,1049,1568,3411,1997,536,857,779
"ENSG00000137460",3056,2183,2754,2886,2127,6179,2163,2521,2431,3772,2892,4547,3174,1845,1999
"ENSG00000145428",4,17,0,0,2,0,0,0,2,0,2,0,0,0,3
"ENSG00000137462",291,449,464,112,86,18,95,335,36,29,443,179,143,238,57
"ENSG00000145423",3,1040,6,0,5,11,59,4,0,0,0,0,0,2,5
"ENSG00000121210",415,1542,501,334,464,261,524,948,479,150,1208,439,730,918,653
"ENSG00000197410",1,32,2,2,1,4,32,1,13,0,7,14,290,184,33
"ENSG00000171560",6,44,165,10,0,2,2,10,4,2,3,96,0,0,2
"ENSG00000109654",23718,26512,22865,22729,28898,15632,13853,22745,17197,24739,30331,32178,11973,10736,10366
"ENSG00000121211",193,95,184,135,124,31,31,103,150,231,557,135,75,36,44
"ENSG00000171566",1374,1523,2069,1407,1907,638,668,1317,1004,1475,4354,2640,576,965,677
"ENSG00000185149",0,0,0,0,0,10,8,20,38,0,14,0,0,5,6
"ENSG00000164114",58,884,110,332,55,92,119,80,147,18,3607,46,62,221,91
"ENSG00000164116",109,1690,364,44,56,49,118,68,77,13,485,88,309,223,82
"ENSG00000061918",89,746,382,29,48,16,53,114,47,11,206,40,105,127,43
"ENSG00000151790",404,56,54,0,0,0,0,13,0,0,0,0,0,0,0
"ENSG00000256394",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256043",0,0,271,339,578,127,115,215,195,352,758,404,0,214,0
"ENSG00000109738",16,51,7,9,11,8,5,18,0,8,39,5,0,16,0
"ENSG00000145431",261,995,348,81,151,49,179,320,193,119,789,164,214,283,78
"ENSG00000120251",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"ENSG00000171509",7,16,22,17,13,9,15,5,10,4,9,10,0,17,22
"ENSG00000164125",1153,3331,2113,662,759,576,286,789,639,3772,1213,1064,637,1233,549
"ENSG00000164124",1526,1142,2219,1270,2268,766,638,1674,1164,2163,2754,2088,444,993,949
"ENSG00000205208",372,322,506,257,226,126,75,443,185,430,710,427,48,80,64
"ENSG00000171503",479,684,833,1146,1977,801,812,1076,985,1155,2079,962,790,1080,829
"ENSG00000171497",1020,1019,1166,1022,1332,484,423,1000,861,1441,1987,1013,257,581,405
"ENSG00000164123",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000109756",4415,5376,7307,4604,5453,4214,3007,4249,4665,4401,5825,5447,3699,3220,3198
"ENSG00000052795",2496,4026,3446,3922,7799,3653,3545,5175,3697,5388,7065,5276,3499,4140,4545
"ENSG00000151005",3,3,0,26,14,23,33,8,9,20,11,7,0,8,27
"ENSG00000145414",989,931,1319,701,1099,605,431,949,644,946,1337,877,629,617,296
"ENSG00000164128",69,51,40,73,23,74,161,249,429,54,55,27,108,37,201
"ENSG00000164129",3,3,4,6,0,3,22,4,9,1,6,0,0,0,0
"ENSG00000248329",5,43,28,4,0,0,0,0,3,0,13,6,0,3,0
"ENSG00000248771",165,8,132,729,1719,357,426,388,512,970,667,653,235,408,802
"ENSG00000198498",631,459,641,832,1011,570,359,478,577,715,832,515,204,404,330
"ENSG00000145416",103,474,227,82,268,43,131,121,91,74,455,42,169,505,211
"ENSG00000176979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250374",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ENSG00000170088",1139,1350,1708,1032,986,690,556,1647,794,1382,1848,1562,650,641,464
"ENSG00000109466",377,511,794,474,569,298,340,550,445,576,1282,673,234,381,288
"ENSG00000183439",3,30,0,2,12,0,2,0,5,5,14,0,0,8,0
"ENSG00000229894",8,1,3,0,4,3,0,1,12,4,8,7,3,3,3
"ENSG00000052802",1848,1525,3433,1487,1889,476,522,2259,1274,3017,7534,3250,162,1637,2223
"ENSG00000109472",181,306,4976,389,48,155,78,351,344,564,224,255,428,415,133
"ENSG00000038295",3,43,55,24,25,60,79,23,70,2,15,5,98,150,101
"ENSG00000109511",3,0,0,4,45,0,0,1,0,0,9,0,0,0,0
"ENSG00000137628",3701,3730,4100,2808,3831,2008,2893,1813,3654,2080,5673,2009,1035,4207,3286
"ENSG00000181381",3316,2694,4386,3144,6522,2292,2424,1891,3080,2263,3961,2490,1153,2439,2971
"ENSG00000129116",4181,6459,2403,9635,11803,7489,9104,5106,5588,8513,13205,6699,9581,9003,8370
"ENSG00000145439",4695,6659,5170,6970,10468,3430,4034,5231,5277,4970,10107,5280,2362,4232,2736
"ENSG00000154447",2058,1745,3174,3942,5158,3090,2773,4470,2964,4035,3912,3829,2587,2760,2895
"ENSG00000137601",639,993,745,1071,1271,562,720,1012,1014,1055,1722,1046,649,1220,622
"ENSG00000056050",123,190,431,331,223,132,68,196,221,281,542,240,73,167,107
"ENSG00000198948",35,628,958,309,20,135,80,144,96,202,2196,322,88,230,77
"ENSG00000109572",5423,4387,9525,7854,12808,3982,3030,7506,5535,11706,10950,11613,2407,6923,5284
"ENSG00000109576",980,255,697,359,305,274,228,443,258,340,1219,440,215,163,185
"ENSG00000174473",30,18,12,16,28,20,15,8,16,64,15,0,2,83,32
"ENSG00000164105",183,143,248,244,197,146,103,233,140,219,483,218,161,93,79
"ENSG00000164106",31,25,34,25,51,58,42,17,17,24,47,43,80,35,22
"ENSG00000164107",0,28,4,0,1,4,18,0,4,0,0,0,161,36,52
"ENSG00000109586",6128,6196,8121,9000,14614,7018,6264,6324,5948,11874,16151,7887,4196,8331,8861
"ENSG00000164104",1343,1340,2213,1787,2693,1425,882,2015,2042,2177,4944,1833,1017,801,1310
"ENSG00000164120",159,714,330,400,4127,810,698,436,1449,389,997,583,259,1781,1645
"ENSG00000145451",2,1,0,3,0,0,0,5,2,0,10,0,0,3,0
"ENSG00000164122",1,0,0,0,0,5,0,0,0,0,0,2,8,0,0
"ENSG00000164117",322,529,456,556,890,344,271,607,517,636,1433,1038,341,491,367
"ENSG00000164118",828,894,1125,873,1702,920,825,835,791,1247,2256,1613,662,888,638
"ENSG00000150627",11,337,11,3,33,30,37,16,50,8,14,9,241,89,69
"ENSG00000150630",67,234,174,10,18,5,49,36,31,5,70,8,60,75,26
"ENSG00000129128",1851,3525,3802,2777,3171,833,1244,1503,1828,2133,5678,3724,916,4224,1036
"ENSG00000109674",271,320,382,245,278,128,76,162,201,293,888,152,72,73,163
"ENSG00000038002",329,325,491,442,600,145,162,349,231,420,535,764,72,339,204
"ENSG00000218336",76,64,14,0,15,32,240,63,191,1,10,42,98,72,36
"ENSG00000129187",1066,1104,1380,773,1069,709,647,1641,902,1515,2102,1579,501,619,557
"ENSG00000151718",426,1463,1376,132,167,196,396,306,299,84,407,150,655,484,273
"ENSG00000177300",2,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000168564",700,748,885,768,1297,561,460,827,707,1023,1592,684,438,669,522
"ENSG00000168556",78,109,158,168,161,121,48,137,189,183,312,95,19,103,102
"ENSG00000182552",344,245,591,377,468,182,164,495,315,690,1072,462,70,174,94
"ENSG00000164303",3,12,11,0,21,22,23,18,11,0,16,0,59,201,22
"ENSG00000173320",104,158,95,49,10,147,845,300,200,32,91,14,255,399,177
"ENSG00000168538",2829,2463,2910,2256,3230,1820,1949,2630,2043,2358,4375,3357,1596,2158,1816
"ENSG00000168310",1331,1632,1583,1856,2257,1467,1606,2028,1422,1782,2092,865,947,1599,1002
"ENSG00000164305",1330,1573,1587,1583,2220,464,666,1480,1135,1882,4488,2298,627,1370,1444
"ENSG00000164306",388,523,378,572,704,384,375,465,499,515,809,343,416,441,404
"ENSG00000151726",657,970,908,539,861,393,536,936,502,1355,2722,657,197,474,862
"ENSG00000151725",713,322,544,446,422,265,187,428,434,815,1833,827,231,346,316
"ENSG00000109762",923,1769,1321,1258,2191,965,975,1094,884,919,1629,1152,891,911,734
"ENSG00000109771",54,64,46,49,96,61,44,136,48,59,95,52,62,39,37
"ENSG00000151729",277,288,566,618,757,313,374,554,427,886,1590,645,484,581,236
"ENSG00000164323",1758,1542,2188,1963,1943,491,584,2088,1210,1904,2851,1661,271,748,357
"ENSG00000186352",56,129,66,137,297,173,105,203,67,126,510,59,160,132,138
"ENSG00000109775",520,449,292,463,594,182,303,671,391,629,996,713,190,372,271
"ENSG00000205129",3,22,1,10,4,2,0,3,0,0,10,0,0,0,4
"ENSG00000168491",14,37,4,24,18,15,4,18,24,12,255,9,26,72,10
"ENSG00000154553",42,1151,291,17,109,50,193,519,156,36,370,41,961,598,107
"ENSG00000164342",385,269,474,857,1295,404,422,679,670,769,1701,1058,215,699,378
"ENSG00000154556",3940,2525,1453,1440,289,1849,2091,2026,2413,2000,1409,2842,2488,1355,1408
"ENSG00000088926",0,6,41,4,0,0,2,55,0,0,5,8,8,21,6
"ENSG00000168412",10,64,39,62,11,44,93,131,83,64,163,344,52,84,64
"ENSG00000109794",693,1002,80,983,852,1545,1036,695,1209,857,1917,1107,1296,803,784
"ENSG00000145476",1189,1418,1048,1773,1865,1461,1452,1706,1707,1135,3289,1314,1533,2764,1783
"ENSG00000164344",27,96,34,197,48,106,91,37,212,37,358,47,161,172,269
"ENSG00000109536",77,69,68,9,94,50,0,93,0,76,141,53,54,62,8
"ENSG00000153404",5,17,6,0,7,2,14,7,5,2,0,14,124,43,107
"ENSG00000185028",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000164366",565,950,487,618,801,671,547,522,463,622,658,672,625,591,433
"ENSG00000073578",2103,2307,3173,4385,5742,3312,2915,4513,3224,5653,9772,4371,3406,4211,3390
"ENSG00000083857",78613,35766,76248,55511,58656,32266,27828,54560,43869,66060,63206,71972,16152,13202,22974
"ENSG00000249915",3145,3173,2248,3340,4055,2943,3090,3113,2222,2713,4368,3000,3552,3286,2527
"ENSG00000063438",108,93,71,67,56,97,258,132,69,33,16,232,92,173,162
"ENSG00000180104",2604,1937,2251,2312,2502,3720,3681,3209,2507,2166,2396,2074,4014,2094,2773
"ENSG00000066230",1651,3160,8969,1218,564,171,5756,8413,6284,402,1103,794,29,246,1725
"ENSG00000145506",493,740,853,49,9,117,118,438,169,12,68,67,80,25,18
"ENSG00000206077",618,815,269,221,303,705,495,3655,421,317,393,184,964,144,207
"ENSG00000188818",265,637,183,204,285,546,484,1590,549,193,73,106,783,106,275
"ENSG00000028310",2683,2859,2193,2760,2796,4003,3014,2772,2666,1803,2446,1703,4407,2259,2753
"ENSG00000071539",571,461,853,299,573,306,123,658,290,724,1242,339,109,106,291
"ENSG00000112877",680,802,719,723,523,767,630,446,512,537,359,559,1037,405,537
"ENSG00000171368",271,305,280,138,305,232,197,4888,151,276,281,136,410,58,167
"ENSG00000164363",2,0,4,0,0,0,4,2,0,0,0,3,8,6,0
"ENSG00000164362",48,207,116,33,4,51,164,30,76,26,81,39,724,25,57
"ENSG00000113504",2182,2830,3849,2689,2346,4579,3028,3579,2413,2224,2065,2530,3580,2053,2716
"ENSG00000142319",0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000049656",1290,1191,2041,1059,1150,1189,743,1460,922,1586,2257,1570,1368,1452,942
"ENSG00000153395",560,127,176,1223,80,406,489,1078,402,1600,1471,966,75,421,474
"ENSG00000171421",117,198,423,281,305,102,36,299,192,379,1006,317,76,134,150
"ENSG00000145494",169,201,344,410,255,233,182,473,446,471,397,200,101,252,319
"ENSG00000170561",476,22,0,128,426,125,46,9,207,377,651,0,74,72,127
"ENSG00000145536",12,141,9,2,8,2,28,0,1,2,2,11,0,0,0
"ENSG00000215218",4,18,14,11,9,6,6,12,12,4,0,38,16,72,9
"ENSG00000133398",473,499,557,597,1174,344,370,554,477,544,879,720,371,411,375
"ENSG00000164151",4629,3823,5100,4108,5450,3086,3185,4280,3872,3655,6204,5604,3299,3588,2613
"ENSG00000145545",683,635,835,282,732,200,185,574,462,390,998,756,125,462,250
"ENSG00000037474",3919,2544,4207,3060,3086,2880,2254,3255,2423,3146,3762,2796,2297,2480,1644
"ENSG00000112941",1636,2368,2119,1692,2045,1556,1568,1796,1311,1647,2890,1235,1527,1685,1337
"ENSG00000078295",17,152,20,6,18,17,50,16,26,3,15,5,173,154,92
"ENSG00000215217",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"ENSG00000124275",1537,1544,1955,1454,1902,1213,1099,1355,1182,1319,2178,1931,1128,1415,1088
"ENSG00000124279",494,373,271,261,495,286,238,243,284,307,468,392,143,235,228
"ENSG00000112902",11105,8872,8477,10107,11438,10380,5670,7506,7178,12447,17557,12201,3670,4490,1677
"ENSG00000169777",21,0,0,0,0,0,0,11,4,0,0,7,0,0,0
"ENSG00000150756",763,888,583,583,726,383,253,416,501,615,1081,626,322,369,429
"ENSG00000164237",415,497,1173,2586,4081,1199,1832,504,1431,3158,227,1925,1121,1296,2505
"ENSG00000150753",5507,4107,7844,4739,5758,2080,1625,5485,3938,7312,11697,8560,1489,3022,1821
"ENSG00000145491",7,8,0,16,12,12,7,3,9,0,9,0,0,6,5
"ENSG00000164236",21,494,153,36,61,43,108,25,12,20,169,52,175,351,42
"ENSG00000145495",11702,11202,8574,9064,17290,6409,7721,11772,7357,9549,18118,12269,6277,7789,5752
"ENSG00000112977",1676,1862,2782,2797,3554,1485,1482,3396,1889,3949,3345,3107,1416,1649,1713
"ENSG00000039139",686,156,84,945,730,62,73,300,199,603,287,127,66,43,42
"ENSG00000145569",1052,3543,1459,2450,4768,1163,1142,1633,1352,2641,2926,2902,1327,2353,2062
"ENSG00000038382",16105,39790,36798,23040,21614,23569,35337,18454,26741,22321,36954,23491,33273,23896,19543
"ENSG00000154124",2675,3825,3687,2522,3131,1784,2176,2319,1862,2130,4513,2415,1632,2558,1796
"ENSG00000154122",4615,5969,5906,8566,9454,5602,4889,5808,5253,7664,7139,8089,2734,3247,2620
"ENSG00000183580",84,306,233,35,64,75,122,94,96,45,110,47,462,327,104
"ENSG00000173545",794,665,1183,1078,1244,1179,578,1161,1192,1053,1302,1149,1257,1121,1058
"ENSG00000154153",3213,2935,6095,6397,14791,5833,4164,11451,6118,6461,7426,4108,13325,9007,3064
"ENSG00000176788",43,151,116,65,94,243,5,179,162,154,178,98,115,214,109
"ENSG00000145555",8532,6515,7874,9559,9144,10962,9208,11817,10177,9615,8858,13020,10257,5511,7555
"ENSG00000145526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000154162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000113361",308,714,602,133,92,49,113,200,70,12,350,35,88,141,25
"ENSG00000082213",744,717,906,760,797,384,288,843,664,1238,1583,1198,186,669,531
"ENSG00000113360",2498,2547,2834,3020,3602,2666,2371,2667,2583,2876,4065,2574,2186,1922,1845
"ENSG00000133401",529,1284,786,231,345,298,563,490,194,127,765,283,579,621,216
"ENSG00000113384",7366,9510,7676,8632,10718,6181,6170,5443,3131,8524,15363,5909,5133,3856,5997
"ENSG00000150712",2169,2297,2243,2112,2337,1475,1403,2432,1609,2335,2779,2414,2174,1854,1437
"ENSG00000056097",3357,3675,3918,3338,4707,1803,1996,3050,2710,3087,7368,3782,1492,2279,2273
"ENSG00000113389",6,150,4,0,24,11,9,3,14,0,72,6,7,36,21
"ENSG00000113387",2805,2614,3263,2001,3729,1125,934,2957,1668,3208,8276,5910,972,3016,1173
"ENSG00000113407",2220,2134,4082,3437,2990,1246,978,3399,2170,3353,6076,4150,829,1913,1464
"ENSG00000151388",279,2650,1442,114,158,101,158,399,100,59,555,184,241,130,91
"ENSG00000039560",331,1764,1609,407,2413,333,262,309,425,546,950,212,365,587,391
"ENSG00000164175",146,19,18,43,29,182,53,47,94,37,17,32,41,40,14
"ENSG00000242110",1896,2265,1805,1415,1512,1086,531,2012,1728,1541,1029,4020,487,624,440
"ENSG00000082196",398,273,233,321,482,251,400,410,399,288,307,316,275,240,168
"ENSG00000205838",1,10,1,9,2,5,14,8,11,6,14,0,15,7,7
"ENSG00000113456",770,900,765,712,844,440,378,682,568,881,1726,821,436,612,396
"ENSG00000113460",806,614,1114,703,994,221,199,710,531,742,2257,921,175,355,191
"ENSG00000168724",1460,1033,2132,2144,2704,1186,949,1914,1649,2108,3809,1997,841,1670,1110
"ENSG00000113494",1028,2737,3012,3204,8690,1520,1158,1362,1421,5555,4558,5289,1537,2901,2051
"ENSG00000152582",154,338,285,652,679,410,426,359,693,647,712,339,342,413,385
"ENSG00000152611",3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSG00000168685",844,2296,2097,360,947,96,328,1656,448,354,3162,516,217,2428,240
"ENSG00000164187",1264,1252,1821,1475,2317,823,797,1607,1079,1891,3851,2666,648,1506,1034
"ENSG00000145604",865,594,718,569,708,582,328,496,574,829,1716,947,446,525,395
"ENSG00000079215",42,249,64,24,19,2,16,37,46,24,82,29,37,74,26
"ENSG00000152620",1153,1277,1586,1183,2056,582,489,1098,746,1236,1965,1523,480,712,438
"ENSG00000164190",9003,7812,10775,10265,14473,7744,7447,9979,9875,9401,20590,12644,6421,8189,7703
"ENSG00000197603",1414,3144,2502,2241,1468,2361,2767,2294,3350,2478,4752,2385,2612,3151,2155
"ENSG00000113569",3927,3922,4687,2786,3417,1559,1332,3761,2399,4683,7890,5055,1110,1669,1148
"ENSG00000168621",46,67,53,21,43,23,61,222,34,38,59,47,166,76,48
"ENSG00000164318",67,264,456,35,36,34,110,54,76,22,100,38,181,234,57
"ENSG00000113594",114,949,378,92,297,142,502,246,505,53,1228,132,1256,1725,554
"ENSG00000082068",1679,1738,1683,1720,2109,1542,1513,1713,1718,1510,2632,1940,1244,1463,1116
"ENSG00000082074",227,1303,542,544,874,134,688,784,408,219,1208,260,456,1836,900
"ENSG00000164327",3600,5484,4695,3796,6472,1943,3029,4790,3281,3396,8555,5988,2071,3743,2450
"ENSG00000145623",416,2692,1171,239,231,103,378,605,251,219,822,333,465,626,191
"ENSG00000113600",5,11,5,16,8,8,7,3,13,13,7,9,0,4,4
"ENSG00000153071",2446,2992,4437,7324,9402,5903,1951,2607,4087,9798,4391,4815,1339,2480,1347
"ENSG00000113638",278,309,226,452,587,248,224,615,351,542,953,569,248,362,270
"ENSG00000171522",263,433,343,1700,1018,838,992,1081,530,861,357,646,1399,961,586
"ENSG00000132356",2886,3176,3523,4337,7251,1951,2549,4420,2898,3998,7131,4797,1630,3246,2734
"ENSG00000132357",530,399,214,619,691,39,265,686,106,609,107,1032,133,220,81
"ENSG00000039537",2,6,24,5,17,10,24,81,16,3,10,6,71,18,20
"ENSG00000112936",72,193,21,28,64,29,87,91,43,117,38,130,800,213,286
"ENSG00000145592",4535,3426,3901,6098,6499,1932,2351,8650,6028,8138,8550,6023,1757,2220,2076
"ENSG00000083720",537,492,334,877,1243,296,431,1334,791,1622,3567,1247,290,637,716
"ENSG00000205765",1492,1718,1365,1765,2225,639,537,1654,1201,2023,3824,2270,335,1112,767
"ENSG00000151876",250,163,368,250,349,132,156,229,255,356,422,303,122,207,116
"ENSG00000112964",37,108,38,14,57,198,140,54,101,212,132,151,318,453,88
"ENSG00000198865",4,47,70,7,84,51,49,74,112,41,69,167,62,239,95
"ENSG00000250722",1331,1967,3102,919,4114,3970,1693,4480,6063,3998,3726,8777,2029,11862,5740
"ENSG00000151882",1263,1178,1544,5641,12699,5812,8520,3397,10890,5970,12670,6614,4147,10869,9640
"ENSG00000172262",2769,2914,1997,3316,3531,3329,3108,2351,2564,2704,2946,1986,3346,3035,2352
"ENSG00000177453",10,18,23,20,12,15,7,17,11,4,18,13,44,30,11
"ENSG00000112972",3216,2417,4490,2276,3353,1014,1624,2888,2738,4469,12931,4785,777,2959,5129
"ENSG00000177721",54,112,57,64,92,84,101,64,54,57,32,40,61,106,82
"ENSG00000070193",9,41,8,7,2,5,8,9,11,3,24,13,24,17,8
"ENSG00000112996",2176,2002,2256,2460,3761,1264,1033,2814,1696,3363,5458,3360,812,1646,760
"ENSG00000151881",1035,414,802,1434,947,1120,844,899,1093,706,1999,461,733,939,578
"ENSG00000172244",256,141,336,196,208,95,105,241,171,254,418,233,89,96,111
"ENSG00000172239",1775,1044,2045,1647,2093,730,525,1986,1242,2280,3596,2748,568,716,502
"ENSG00000112992",1651,2105,3516,2870,4163,1695,1600,4492,2440,4502,6609,3926,1802,2467,2081
"ENSG00000164588",91,0,6,10,8,0,0,6,6,18,0,27,8,0,0
"ENSG00000170571",2553,2369,239,1066,504,90,362,1801,1125,2952,4956,1643,238,1060,664
"ENSG00000016082",220,7,25,42,66,71,20,4,4,6,38,44,296,234,127
"ENSG00000151883",2333,2998,1663,2753,5050,1074,1285,2193,1103,1810,3813,2750,1414,3180,1807
"ENSG00000134363",66,32,21,9,3,7,19,29,33,17,8,13,27,26,32
"ENSG00000164258",541,445,810,704,1190,253,368,637,491,1138,2558,1069,165,601,334
"ENSG00000164171",4517,8868,13287,6851,11001,2952,2357,11303,4804,9673,14059,8016,897,1254,1456
"ENSG00000164172",387,479,666,533,528,286,208,602,484,796,1093,743,246,404,268
"ENSG00000213949",4948,6559,7423,3499,3758,1787,3080,3193,2653,1461,11479,5305,2646,3312,1691
"ENSG00000152684",777,1220,1500,776,994,699,806,667,642,703,852,805,858,645,472
"ENSG00000169271",24,0,4,0,0,18,0,0,4,22,6,4,0,0,0
"ENSG00000178996",523,1189,706,613,917,495,295,402,508,781,2537,978,431,438,220
"ENSG00000145649",25,94,55,63,89,8,38,79,15,10,240,33,6,91,16
"ENSG00000164283",158,180,703,83,85,11,13,128,18,8,237,27,0,4,4
"ENSG00000113088",4,102,27,7,14,0,9,26,5,0,105,14,34,107,14
"ENSG00000164287",0,0,0,0,0,0,0,7,0,0,2,15,0,0,0
"ENSG00000164294",85,288,121,95,30,59,30,175,32,161,479,31,50,74,64
"ENSG00000185305",18691,24037,19226,15961,25859,12720,14317,11674,16856,13868,29273,14540,7714,13004,8395
"ENSG00000164509",7,3,18,7,0,5,6,5,0,0,7,8,23,17,2
"ENSG00000177058",901,1102,896,816,1102,515,708,964,778,751,1678,1027,1017,862,612
"ENSG00000152670",0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
"ENSG00000234602",30,14,29,42,38,86,28,29,28,9,119,0,0,12,0
"ENSG00000067248",1551,1074,1899,1658,2081,1041,848,1577,1361,1710,3883,2081,849,1347,1145
"ENSG00000039123",3878,2988,4048,3953,6003,2256,2388,3790,2894,3896,8367,5655,1508,2695,1882
"ENSG00000067113",642,2635,1131,963,2187,1523,1287,844,1555,847,2846,771,1417,2284,1842
"ENSG00000152669",203,82,123,254,294,585,96,65,107,96,169,46,35,46,52
"ENSG00000134352",1962,7076,5589,3298,5773,1619,1625,2867,2473,4337,9761,5719,1755,4582,2514
"ENSG00000164512",3,20,15,3,2,4,4,0,0,0,5,6,17,18,0
"ENSG00000095015",1764,2515,3002,1752,2722,981,1406,2285,1656,1712,4277,2333,1407,2246,1398
"ENSG00000155542",118,58,239,230,246,51,85,108,122,66,130,179,39,116,56
"ENSG00000155545",1729,2448,2345,2376,1609,2100,2580,1386,3194,2203,3163,2415,1103,2217,2967
"ENSG00000175857",2,29,18,5,41,0,2,15,2,12,26,3,0,46,31
"ENSG00000145632",1067,810,1418,738,844,459,606,1269,538,690,2571,730,547,805,278
"ENSG00000062194",5189,7030,5317,3684,6790,4400,4399,4260,3694,3967,10731,4581,3903,6018,3712
"ENSG00000164181",743,1589,804,975,1427,350,700,1329,846,1360,5320,2477,237,643,390
"ENSG00000049167",688,510,679,476,656,236,260,552,435,662,965,787,254,469,245
"ENSG00000113448",19706,32206,41406,30301,69272,23646,30771,23100,23960,28906,38018,8548,20187,38414,37876
"ENSG00000035499",628,625,832,318,533,250,133,581,494,728,1655,709,244,170,343
"ENSG00000164182",591,497,677,565,761,410,330,544,423,575,932,473,371,352,205
"ENSG00000188725",1675,1539,2388,2179,3218,660,604,2170,1341,2571,6005,2541,491,1548,999
"ENSG00000130449",5545,7856,8001,10175,18755,8625,11016,14010,9840,9108,15642,10472,8686,12021,11075
"ENSG00000164197",51,340,72,43,63,27,90,119,113,4,67,45,63,130,41
"ENSG00000186479",24,221,51,15,50,6,18,22,29,5,65,21,39,40,11
"ENSG00000153006",1009,1255,1001,1115,1892,454,419,1493,837,1319,2491,1831,326,762,587
"ENSG00000068796",6311,1535,6969,4445,5002,2883,3256,3206,3898,4836,2881,4585,413,944,3192
"ENSG00000086200",1851,1724,1785,1313,1607,691,687,1604,1056,1691,3635,2181,600,886,596
"ENSG00000186105",0,216,203,102,28,70,0,229,37,0,43,0,58,98,60
"ENSG00000086189",582,691,824,557,665,176,235,609,278,691,1045,783,132,337,160
"ENSG00000153015",608,503,585,743,852,457,347,674,823,748,1483,994,231,540,511
"ENSG00000049192",563,1028,326,202,202,87,343,345,230,97,340,178,99,96,85
"ENSG00000123219",1016,376,932,766,953,371,224,387,538,1131,1642,425,258,354,340
"ENSG00000113593",1546,1663,1368,1762,3288,1148,1020,1546,1177,1487,2769,2102,910,1268,849
