"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000160539",29,90,18,12,6,22,14,12,7,0,15,8,28,51,0
"ENSG00000107263",3309,4012,3002,3289,3928,5167,4597,4523,3222,3345,3442,2704,4030,4621,3291
"ENSG00000196358",36,145,64,26,27,48,161,106,63,10,48,27,48,116,26
"ENSG00000160563",469,312,363,246,205,190,262,382,261,346,356,407,267,244,210
"ENSG00000125482",1170,728,815,640,1002,874,446,648,666,661,996,687,703,525,522
"ENSG00000107290",12196,11049,12145,9550,12772,8537,8081,9756,8509,8084,20203,10817,6374,11825,8550
"ENSG00000188523",4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000125492",0,3,2,0,0,6,9,0,1,0,0,0,0,0,0
"ENSG00000125484",4408,3289,2915,2106,3080,1894,1080,2502,1833,2954,4973,3921,1178,1144,1044
"ENSG00000125485",2337,1805,1908,1329,1470,1689,1068,1300,1091,1404,1290,1869,1459,830,544
"ENSG00000165695",21,33,5,23,3,16,17,17,5,17,22,12,28,15,24
"ENSG00000165698",23,53,20,71,16,60,27,43,94,54,44,32,52,29,38
"ENSG00000165699",3956,5036,2468,3954,4593,5444,4478,4053,3971,3342,4184,4783,4724,2903,3319
"ENSG00000165702",30,59,15,17,70,35,29,24,13,32,28,34,87,60,77
"ENSG00000148308",1521,1373,1400,947,1106,1771,972,1305,1109,1075,1227,1034,1467,731,1136
"ENSG00000170835",757,2325,3675,107,61,122,143,1926,457,67,23,403,113,71,108
"ENSG00000171102",4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160271",3379,2458,2197,2018,2567,2566,2415,3608,1889,1426,1229,1587,2777,1521,1777
"ENSG00000148288",208,486,223,47,78,128,225,294,150,142,265,199,397,330,159
"ENSG00000175164",3953,5604,1550,5902,6171,10088,6746,4100,5216,6176,9191,2402,13054,7351,5880
"ENSG00000198870",0,19,0,0,9,0,5,9,9,0,0,0,26,0,0
"ENSG00000148300",206,0,0,222,374,511,143,214,412,471,217,100,398,112,263
"ENSG00000160323",166,0,0,0,0,0,0,0,0,154,0,20,0,0,0
